Age,Total 1970,Male 1970,Female 1970,Total 1971,Male 1971,Female 1971,Total 1972,Male 1972,Female 1972,Total 1973,Male 1973,Female 1973,Total 1974,Male 1974,Female 1974,Total 1975,Male 1975,Female 1975,Total 1976,Male 1976,Female 1976,Total 1977,Male 1977,Female 1977,Total 1978,Male 1978,Female 1978,Total 1979,Male 1979,Female 1979,Total 1980,Male 1980,Female 1980,Total 1981,Male 1981,Female 1981,Total 1982,Male 1982,Female 1982,Total 1983,Male 1983,Female 1983,Total 1984,Male 1984,Female 1984,Total 1985,Male 1985,Female 1985,Total 1986,Male 1986,Female 1986,Total 1987,Male 1987,Female 1987,Total 1988,Male 1988,Female 1988,Total 1989,Male 1989,Female 1989,Total 1990,Male 1990,Female 1990,Total 1991,Male 1991,Female 1991,Total 1992,Male 1992,Female 1992,Total 1993,Male 1993,Female 1993,Total 1994,Male 1994,Female 1994,Total 1995,Male 1995,Female 1995,Total 1996,Male 1996,Female 1996,Total 1997,Male 1997,Female 1997,Total 1998,Male 1998,Female 1998,Total 1999,Male 1999,Female 1999,Total 2000,Male 2000,Female 2000,Total 2001,Male 2001,Female 2001,Total 2002,Male 2002,Female 2002,Total 2003,Male 2003,Female 2003,Total 2004,Male 2004,Female 2004,Total 2005,Male 2005,Female 2005,Total 2006,Male 2006,Female 2006,Total 2007,Male 2007,Female 2007,Total 2008,Male 2008,Female 2008,Total 2009,Male 2009,Female 2009,Total 2010,Male 2010,Female 2010,Total 2011,Male 2011,Female 2011,Total 2012,Male 2012,Female 2012,Total 2013,Male 2013,Female 2013,Total 2014,Male 2014,Female 2014,Total 2015,Male 2015,Female 2015,Total 2016,Male 2016,Female 2016,Total 2017,Male 2017,Female 2017,Total 2018,Male 2018,Female 2018,Total 2019,Male 2019,Female 2019,Total 2020,Male 2020,Female 2020,Total 2021,Male 2021,Female 2021,Total 2022,Male 2022,Female 2022,Total 2023,Male 2023,Female 2023,Total 2024,Male 2024,Female 2024,Total 2025,Male 2025,Female 2025,Total 2026,Male 2026,Female 2026,Total 2027,Male 2027,Female 2027,Total 2028,Male 2028,Female 2028,Total 2029,Male 2029,Female 2029,Total 2030,Male 2030,Female 2030,Total 2031,Male 2031,Female 2031,Total 2032,Male 2032,Female 2032,Total 2033,Male 2033,Female 2033,Total 2034,Male 2034,Female 2034,Total 2035,Male 2035,Female 2035,Total 2036,Male 2036,Female 2036,Total 2037,Male 2037,Female 2037,Total 2038,Male 2038,Female 2038,Total 2039,Male 2039,Female 2039,Total 2040,Male 2040,Female 2040,Total 2041,Male 2041,Female 2041,Total 2042,Male 2042,Female 2042,Total 2043,Male 2043,Female 2043,Total 2044,Male 2044,Female 2044,Total 2045,Male 2045,Female 2045,Total 2046,Male 2046,Female 2046,Total 2047,Male 2047,Female 2047,Total 2048,Male 2048,Female 2048,Total 2049,Male 2049,Female 2049,Total 2050,Male 2050,Female 2050
44,"39,293","19,336","19,957","38,179","18,521","19,658","37,711","18,698","19,013","36,458","17,958","18,500","38,384","19,198","19,186","36,675","18,427","18,248","35,964","17,832","18,132","36,260","18,127","18,133","36,725","18,473","18,252","38,844","19,572","19,272","40,235","20,383","19,852","41,097","20,693","20,404","42,756","21,661","21,095","44,108","22,411","21,697","45,995","23,314","22,681","48,468","24,766","23,702","49,970","25,520","24,450","58,468","29,736","28,732","60,190","30,399","29,791","60,039","30,074","29,965","60,670","30,502","30,168","64,598","32,436","32,162","67,980","34,096","33,884","71,434","35,792","35,642","74,980","37,534","37,446","78,545","39,286","39,259","81,838","40,902","40,936","85,264","42,584","42,680","88,845","44,344","44,501","92,435","46,108","46,327","95,951","47,835","48,116","95,192","47,510","47,682","94,639","47,287","47,352","93,746","46,894","46,852","93,077","46,613","46,464","92,537","46,397","46,140","92,440","46,403","46,037","92,090","46,283","45,807","91,425","46,004","45,421","90,502","45,596","44,906","89,433","45,114","44,319","89,484","45,124","44,360","89,540","45,141","44,399","89,895","45,306","44,589","90,586","45,641","44,945","91,319","45,998","45,321","92,436","46,547","45,889","93,206","46,921","46,285","94,132","47,374","46,758","95,051","47,825","47,226","96,045","48,311","47,734","96,923","48,767","48,156","98,869","49,766","49,103","101,533","51,144","50,389","105,122","53,007","52,115","109,397","55,259","54,138","113,193","57,281","55,912","116,323","58,946","57,377","118,798","60,264","58,534","120,690","61,247","59,443","121,516","61,650","59,866","122,552","62,209","60,343","123,940","62,997","60,943","125,463","63,892","61,571","127,196","64,912","62,284","128,416","65,675","62,741","128,538","65,914","62,624","127,684","65,634","62,050","125,907","64,862","61,045","123,320","63,713","59,607","119,747","62,082","57,665","119,801","62,230","57,571","121,409","62,920","58,489","123,655","63,739","59,916","126,271","64,383","61,888","127,827","64,393","63,434","123,951","62,691","61,260","122,260","62,131","60,129","124,492","63,146","61,346","126,869","64,280","62,589","129,384","65,546","63,838"
45,"40,761","19,871","20,890","39,014","19,172","19,842","37,581","18,189","19,392","37,503","18,572","18,931","36,799","18,138","18,661","38,672","19,372","19,300","37,006","18,606","18,400","36,385","18,060","18,325","37,042","18,561","18,481","37,672","19,004","18,668","39,510","20,001","19,509","40,395","20,428","19,967","41,023","20,637","20,386","42,701","21,617","21,084","44,042","22,357","21,685","46,000","23,290","22,710","48,389","24,704","23,685","49,995","25,503","24,492","58,645","29,779","28,866","60,493","30,497","29,996","61,129","30,703","30,426","65,142","32,690","32,452","68,607","34,402","34,205","72,144","36,150","35,994","75,771","37,943","37,828","79,421","39,748","39,673","82,792","41,413","41,379","86,300","43,147","43,153","89,964","44,959","45,005","93,639","46,776","46,863","97,236","48,554","48,682","96,993","48,467","48,526","96,959","48,484","48,475","96,576","48,326","48,250","96,422","48,283","48,139","96,402","48,307","48,095","96,850","48,566","48,284","97,035","48,693","48,342","96,891","48,655","48,236","96,472","48,479","47,993","95,892","48,222","47,670","95,248","47,925","47,323","94,607","47,624","46,983","94,294","47,494","46,800","94,333","47,538","46,795","94,405","47,601","46,804","94,890","47,871","47,019","95,005","47,954","47,051","95,282","48,118","47,164","95,533","48,271","47,262","95,871","48,467","47,404","96,149","48,350","47,799","97,309","48,949","48,360","99,185","49,913","49,272","101,845","51,289","50,556","105,416","53,140","52,276","109,681","55,387","54,294","113,470","57,406","56,064","116,592","59,067","57,525","119,066","60,385","58,681","120,977","61,378","59,599","121,808","61,784","60,024","122,849","62,346","60,503","124,243","63,138","61,105","125,772","64,036","61,736","127,512","65,061","62,451","128,737","65,827","62,910","128,863","66,069","62,794","128,009","65,790","62,219","126,230","65,018","61,212","123,638","63,868","59,770","120,059","62,235","57,824","120,115","62,385","57,730","121,729","63,078","58,651","123,983","63,900","60,083","126,608","64,547","62,061","128,169","64,558","63,611","124,284","62,853","61,431","122,590","62,293","60,297","124,829","63,311","61,518","127,213","64,449","62,764"
46,"40,373","19,673","20,700","40,466","19,697","20,769","38,420","18,839","19,581","37,364","18,059","19,305","37,799","18,729","19,070","37,027","18,279","18,748","38,967","19,530","19,437","37,382","18,812","18,570","37,085","18,447","18,638","37,899","19,041","18,858","38,221","19,139","19,082","39,749","20,095","19,654","40,328","20,375","19,953","40,961","20,587","20,374","42,645","21,568","21,077","44,079","22,352","21,727","45,932","23,234","22,698","48,455","24,712","23,743","50,231","25,592","24,639","59,076","29,958","29,118","60,114","30,278","29,836","63,758","32,029","31,729","66,863","33,509","33,354","70,041","35,026","35,015","73,306","36,586","36,720","76,593","38,158","38,435","79,613","39,596","40,017","82,764","41,100","41,664","86,065","42,678","43,387","89,376","44,262","45,114","92,614","45,809","46,805","92,983","46,046","46,937","93,552","46,382","47,170","93,784","46,551","47,233","94,238","46,830","47,408","94,823","47,174","47,649","95,871","47,749","48,122","96,665","48,198","48,467","97,134","48,485","48,649","97,325","48,633","48,692","97,350","48,698","48,652","95,820","47,935","47,885","94,322","47,186","47,136","93,151","46,604","46,547","92,317","46,191","46,126","91,530","45,799","45,731","91,118","45,594","45,524","90,362","45,218","45,144","89,755","44,920","44,835","89,122","44,603","44,519","88,557","44,324","44,233","95,958","48,487","47,471","96,507","48,507","48,000","97,598","49,072","48,526","99,467","50,033","49,434","102,108","51,397","50,711","105,670","53,243","52,427","109,929","55,487","54,442","113,711","57,502","56,209","116,834","59,164","57,670","119,327","60,492","58,835","121,245","61,489","59,756","122,080","61,898","60,182","123,127","62,464","60,663","124,527","63,259","61,268","126,061","64,160","61,901","127,809","65,190","62,619","129,038","65,959","63,079","129,169","66,205","62,964","128,315","65,927","62,388","126,534","65,155","61,379","123,939","64,005","59,934","120,354","62,371","57,983","120,411","62,522","57,889","122,031","63,218","58,813","124,293","64,044","60,249","126,926","64,693","62,233","128,493","64,705","63,788","124,601","62,999","61,602","122,903","62,439","60,464","125,149","63,460","61,689"
47,"40,328","19,741","20,587","40,072","19,494","20,578","39,889","19,368","20,521","38,185","18,697","19,488","37,616","18,192","19,424","37,994","18,857","19,137","37,270","18,410","18,860","39,315","19,725","19,590","38,038","19,187","18,851","37,871","18,893","18,978","38,227","19,237","18,990","38,504","19,266","19,238","39,678","20,041","19,637","40,258","20,319","19,939","40,906","20,541","20,365","42,697","21,576","21,121","44,011","22,298","21,713","46,016","23,258","22,758","48,737","24,838","23,899","50,682","25,805","24,877","60,104","30,480","29,624","63,724","32,213","31,511","66,805","33,674","33,131","69,958","35,171","34,787","73,200","36,713","36,487","76,462","38,265","38,197","79,457","39,684","39,773","82,584","41,169","41,415","85,862","42,729","43,133","89,148","44,293","44,855","92,361","45,821","46,540","92,976","46,166","46,810","93,792","46,611","47,181","94,268","46,887","47,381","94,967","47,274","47,693","95,797","47,726","48,071","97,098","48,413","48,685","98,143","48,973","49,170","98,859","49,368","49,491","99,291","49,622","49,669","99,552","49,790","49,762","97,813","48,900","48,913","96,103","48,025","48,078","94,732","47,321","47,411","93,710","46,790","46,920","92,726","46,278","46,448","92,122","45,958","46,164","91,168","45,460","45,708","90,365","45,038","45,327","89,535","44,603","44,932","88,775","44,203","44,572","88,592","44,317","44,275","96,255","48,610","47,645","96,739","48,597","48,142","97,821","49,159","48,662","99,671","50,108","49,563","102,299","51,465","50,834","105,854","53,307","52,547","110,108","55,548","54,560","113,891","57,564","56,327","117,032","59,235","57,797","119,534","60,568","58,966","121,459","61,569","59,890","122,299","61,981","60,318","123,351","62,551","60,800","124,758","63,350","61,408","126,299","64,255","62,044","128,053","65,289","62,764","129,288","66,062","63,226","129,423","66,311","63,112","128,571","66,035","62,536","126,790","65,265","61,525","124,193","64,115","60,078","120,603","62,480","58,123","120,663","62,634","58,029","122,288","63,333","58,955","124,558","64,162","60,396","127,199","64,814","62,385","128,773","64,828","63,945","124,874","63,120","61,754","123,173","62,560","60,613"
48,"42,416","20,944","21,472","40,020","19,558","20,462","39,522","19,182","20,340","39,634","19,215","20,419","38,401","18,815","19,586","37,771","18,300","19,471","38,202","18,972","19,230","37,559","18,573","18,986","39,938","20,087","19,851","38,775","19,619","19,156","37,550","18,687","18,863","38,491","19,360","19,131","38,424","19,208","19,216","39,595","19,976","19,619","40,190","20,266","19,924","40,940","20,542","20,398","42,619","21,517","21,102","44,075","22,314","21,761","46,265","23,372","22,893","49,151","25,041","24,110","49,824","25,317","24,507","53,912","27,309","26,603","57,549","29,072","28,477","61,244","30,865","30,379","65,015","32,696","32,319","68,804","34,536","34,268","72,353","36,256","36,097","76,016","38,033","37,983","79,818","39,880","39,938","83,630","41,732","41,898","87,373","43,549","43,824","88,435","44,100","44,335","89,689","44,747","44,942","90,617","45,231","45,386","91,758","45,821","45,937","93,026","46,475","46,551","94,755","47,359","47,396","96,239","48,121","48,118","97,402","48,723","48,679","98,283","49,183","49,100","98,992","49,558","49,434","97,702","48,919","48,783","96,434","48,293","48,141","95,507","47,843","47,664","94,926","47,559","47,367","94,380","47,297","47,083","94,223","47,230","46,993","93,722","46,988","46,734","93,377","46,825","46,552","93,000","46,647","46,353","92,704","46,509","46,195","88,767","44,175","44,592","88,814","44,405","44,409","96,434","48,676","47,758","96,911","48,660","48,251","97,970","49,207","48,763","99,807","50,150","49,657","102,426","51,502","50,924","105,973","53,340","52,633","110,228","55,581","54,647","114,031","57,608","56,423","117,180","59,283","57,897","119,690","60,621","59,069","121,621","61,625","59,996","122,467","62,041","60,426","123,525","62,615","60,910","124,938","63,417","61,521","126,486","64,326","62,160","128,247","65,365","62,882","129,488","66,142","63,346","129,629","66,395","63,234","128,779","66,121","62,658","126,999","65,353","61,646","124,401","64,204","60,197","120,809","62,569","58,240","120,871","62,725","58,146","122,502","63,427","59,075","124,780","64,260","60,520","127,429","64,915","62,514","129,009","64,931","64,078","125,106","63,223","61,883"
49,"40,356","19,993","20,363","42,084","20,746","21,338","39,487","19,257","20,230","39,253","19,020","20,233","39,805","19,304","20,501","38,513","18,900","19,613","37,927","18,382","19,545","38,442","19,105","19,337","38,070","18,864","19,206","40,616","20,481","20,135","39,965","20,341","19,624","37,759","18,783","18,976","38,390","19,289","19,101","38,330","19,136","19,194","39,507","19,912","19,595","40,191","20,250","19,941","40,843","20,473","20,370","42,646","21,515","21,131","44,261","22,397","21,864","46,591","23,531","23,060","50,459","25,590","24,869","54,213","27,378","26,835","57,511","28,936","28,575","60,869","30,524","30,345","64,303","32,150","32,153","67,756","33,786","33,970","70,971","35,303","35,668","74,301","36,878","37,423","77,766","38,520","39,246","81,240","40,166","41,074","84,647","41,779","42,868","86,197","42,577","43,620","87,934","43,467","44,467","89,351","44,199","45,152","90,976","45,034","45,942","92,729","45,932","46,797","94,943","47,059","47,884","96,917","48,067","48,850","98,569","48,915","49,654","99,935","49,622","50,313","101,121","50,239","50,882","100,136","49,832","50,304","99,179","49,434","49,745","98,550","49,199","49,351","98,279","49,147","49,132","98,053","49,114","48,939","98,229","49,285","48,944","98,055","49,280","48,775","98,038","49,354","48,684","98,001","49,420","48,581","98,035","49,521","48,514","92,672","46,466","46,206","88,961","44,247","44,714","88,953","44,450","44,503","96,578","48,724","47,854","97,031","48,692","48,339","98,076","49,232","48,844","99,905","50,172","49,733","102,514","51,519","50,995","106,062","53,357","52,705","110,335","55,608","54,727","114,146","57,638","56,508","117,304","59,318","57,986","119,821","60,660","59,161","121,759","61,668","60,091","122,611","62,088","60,523","123,675","62,665","61,010","125,094","63,471","61,623","126,649","64,385","62,264","128,416","65,427","62,989","129,665","66,209","63,456","129,810","66,465","63,345","128,965","66,195","62,770","127,184","65,428","61,756","124,586","64,280","60,306","120,992","62,645","58,347","121,057","62,804","58,253","122,695","63,510","59,185","124,980","64,346","60,634","127,637","65,004","62,633","129,223","65,023","64,200"
50,"41,189","20,354","20,835","40,024","19,792","20,232","41,552","20,440","21,112","39,201","19,084","20,117","39,368","19,073","20,295","39,872","19,363","20,509","38,621","18,952","19,669","38,112","18,477","19,635","38,890","19,355","19,535","38,628","19,177","19,451","40,583","20,261","20,322","40,128","20,420","19,708","37,640","18,705","18,935","38,286","19,212","19,074","38,222","19,064","19,158","39,474","19,881","19,593","40,071","20,170","19,901","40,831","20,453","20,378","42,770","21,571","21,199","44,501","22,517","21,984","47,007","23,735","23,272","51,219","25,804","25,415","55,001","27,656","27,345","58,840","29,537","29,303","62,751","31,454","31,297","66,680","33,380","33,300","70,374","35,189","35,185","74,180","37,054","37,126","78,121","38,986","39,135","82,071","40,923","41,148","85,954","42,826","43,128","87,430","43,574","43,856","89,095","44,416","44,679","90,437","45,097","45,340","91,990","45,883","46,107","93,672","46,734","46,938","95,820","47,817","48,003","97,723","48,778","48,945","99,301","49,577","49,724","100,593","50,233","50,360","101,704","50,798","50,906","101,043","50,526","50,517","100,415","50,267","50,148","100,107","50,169","49,938","100,156","50,252","49,904","100,260","50,360","49,900","100,776","50,677","50,099","100,930","50,811","50,119","101,250","51,027","50,223","101,554","51,236","50,318","101,930","51,485","50,445","97,984","49,460","48,524","92,854","46,523","46,331","89,083","44,277","44,806","89,067","44,476","44,591","96,678","48,739","47,939","97,118","48,701","48,417","98,154","49,237","48,917","99,973","50,172","49,801","102,582","51,519","51,063","106,146","53,365","52,781","110,428","55,620","54,808","114,247","57,654","56,593","117,412","59,338","58,074","119,937","60,684","59,253","121,882","61,696","60,186","122,741","62,121","60,620","123,810","62,701","61,109","125,236","63,511","61,725","126,799","64,430","62,369","128,571","65,475","63,096","129,827","66,262","63,565","129,976","66,521","63,455","129,134","66,254","62,880","127,354","65,489","61,865","124,757","64,343","60,414","121,162","62,709","58,453","121,231","62,871","58,360","122,874","63,580","59,294","125,167","64,420","60,747","127,831","65,081","62,750"
51,"38,410","19,044","19,366","40,831","20,137","20,694","39,504","19,496","20,008","41,230","20,242","20,988","39,247","19,081","20,166","39,379","19,089","20,290","39,918","19,361","20,557","38,736","18,989","19,747","38,453","18,631","19,822","39,343","19,574","19,769","39,027","19,166","19,861","40,683","20,306","20,377","39,971","20,320","19,651","37,522","18,620","18,902","38,148","19,123","19,025","38,152","19,014","19,138","39,329","19,788","19,541","40,019","20,130","19,889","40,891","20,475","20,416","42,930","21,650","21,280","44,843","22,702","22,141","48,729","24,616","24,113","52,207","26,324","25,883","55,738","28,059","27,679","59,337","29,828","29,509","62,955","31,607","31,348","66,350","33,274","33,076","69,851","34,994","34,857","73,478","36,777","36,701","77,114","38,565","38,549","80,688","40,322","40,366","82,366","41,137","41,229","84,222","42,040","42,182","85,771","42,791","42,980","87,519","43,641","43,878","89,391","44,553","44,838","91,708","45,686","46,022","93,796","46,705","47,091","95,572","47,569","48,003","97,070","48,294","48,776","98,392","48,932","49,460","97,244","48,396","48,848","96,129","47,877","48,252","95,327","47,513","47,814","94,873","47,324","47,549","94,471","47,159","47,312","94,441","47,184","47,257","94,071","47,035","47,036","93,858","46,963","46,895","93,624","46,884","46,740","93,459","46,838","46,621","101,830","51,393","50,437","98,126","49,491","48,635","92,935","46,526","46,409","89,159","44,281","44,878","89,119","44,465","44,654","96,722","48,722","48,000","97,153","48,680","48,473","98,180","49,212","48,968","99,998","50,147","49,851","102,622","51,502","51,120","106,193","53,351","52,842","110,483","55,610","54,873","114,309","57,647","56,662","117,480","59,334","58,146","120,013","60,685","59,328","121,965","61,701","60,264","122,830","62,130","60,700","123,905","62,714","61,191","125,338","63,528","61,810","126,908","64,451","62,457","128,688","65,501","63,187","129,950","66,292","63,658","130,103","66,554","63,549","129,264","66,289","62,975","127,488","65,528","61,960","124,892","64,384","60,508","121,298","62,753","58,545","121,370","62,917","58,453","123,020","63,630","59,390","125,319","64,473","60,846"
52,"37,654","18,749","18,905","38,062","18,828","19,234","40,337","19,842","20,495","39,176","19,291","19,885","41,219","20,207","21,012","39,212","19,076","20,136","39,372","19,059","20,313","39,981","19,370","20,611","39,002","19,107","19,895","38,814","18,801","20,013","39,693","19,732","19,961","39,080","19,184","19,896","40,502","20,192","20,310","39,830","20,219","19,611","37,366","18,521","18,845","38,052","19,058","18,994","37,991","18,913","19,078","39,250","19,732","19,518","40,039","20,130","19,909","40,996","20,522","20,474","43,088","21,714","21,374","47,298","23,773","23,525","51,112","25,633","25,479","54,978","27,519","27,459","58,911","29,439","29,472","62,861","31,367","31,494","66,590","33,185","33,405","70,422","35,055","35,367","74,382","36,988","37,394","78,353","38,927","39,426","82,259","40,833","41,426","83,927","41,671","42,256","85,778","42,599","43,179","87,315","43,372","43,943","89,056","44,245","44,811","90,922","45,181","45,741","93,241","46,342","46,899","95,326","47,387","47,939","97,095","48,275","48,820","98,581","49,022","49,559","99,890","49,681","50,209","98,209","48,853","49,356","96,564","48,047","48,517","95,237","47,395","47,842","94,264","46,917","47,347","93,331","46,466","46,865","92,760","46,190","46,570","91,869","45,758","46,111","91,117","45,396","45,721","90,349","45,019","45,330","89,637","44,676","44,961","93,339","46,735","46,604","101,935","51,397","50,538","98,176","49,472","48,704","92,983","46,510","46,473","89,181","44,250","44,931","89,131","44,430","44,701","96,725","48,680","48,045","97,148","48,636","48,512","98,174","49,168","49,006","100,006","50,110","49,896","102,636","51,468","51,168","106,213","53,320","52,893","110,510","55,582","54,928","114,343","57,622","56,721","117,521","59,312","58,209","120,060","60,667","59,393","122,020","61,688","60,332","122,891","62,121","60,770","123,972","62,708","61,264","125,412","63,527","61,885","126,990","64,455","62,535","128,777","65,509","63,268","130,044","66,303","63,741","130,203","66,569","63,634","129,368","66,308","63,060","127,596","65,550","62,046","125,002","64,409","60,593","121,408","62,780","58,628","121,485","62,948","58,537","123,142","63,665","59,477"
53,"36,118","17,948","18,170","37,287","18,519","18,768","37,577","18,541","19,036","39,974","19,614","20,360","39,128","19,231","19,897","41,148","20,182","20,966","39,165","19,020","20,145","39,395","19,042","20,353","40,206","19,458","20,748","39,319","19,248","20,071","39,079","18,918","20,161","39,706","19,724","19,982","38,884","19,063","19,821","40,342","20,078","20,264","39,639","20,097","19,542","37,245","18,441","18,804","37,870","18,943","18,927","37,887","18,842","19,045","39,234","19,709","19,525","40,101","20,150","19,951","40,659","20,391","20,268","44,986","22,537","22,449","48,937","24,494","24,443","52,936","26,476","26,460","57,000","28,490","28,510","61,082","30,513","30,569","64,946","32,427","32,519","68,911","34,392","34,519","73,001","36,419","36,582","77,101","38,451","38,650","81,139","40,452","40,687","82,749","41,232","41,517","84,538","42,102","42,436","86,019","42,818","43,201","87,702","43,635","44,067","89,507","44,512","44,995","91,758","45,611","46,147","93,779","46,596","47,183","95,487","47,425","48,062","96,918","48,117","48,801","98,175","48,722","49,453","96,599","47,952","48,647","95,061","47,198","47,863","93,831","46,600","47,231","92,957","46,178","46,779","92,109","45,768","46,341","91,639","45,552","46,087","90,836","45,165","45,671","90,180","44,850","45,330","89,497","44,525","44,972","88,883","44,233","44,650","89,495","44,547","44,948","93,411","46,700","46,711","101,960","51,337","50,623","98,201","49,418","48,783","92,981","46,443","46,538","89,169","44,182","44,987","89,111","44,360","44,751","96,694","48,601","48,093","97,118","48,559","48,559","98,158","49,098","49,060","99,995","50,043","49,952","102,632","51,405","51,227","106,215","53,259","52,956","110,517","55,522","54,995","114,357","57,565","56,792","117,543","59,259","58,284","120,088","60,617","59,471","122,055","61,642","60,413","122,934","62,080","60,854","124,023","62,672","61,351","125,471","63,496","61,975","127,054","64,427","62,627","128,848","65,485","63,363","130,121","66,283","63,838","130,286","66,554","63,732","129,457","66,297","63,160","127,688","65,543","62,145","125,097","64,406","60,691","121,505","62,781","58,724","121,587","62,953","58,634"
54,"35,714","18,007","17,707","35,739","17,708","18,031","36,783","18,217","18,566","37,209","18,308","18,901","39,893","19,521","20,372","39,040","19,190","19,850","41,069","20,093","20,976","39,161","18,973","20,188","39,591","19,091","20,500","40,505","19,559","20,946","40,166","19,376","20,790","39,074","18,889","20,185","39,483","19,582","19,901","38,712","18,944","19,768","40,127","19,939","20,188","39,487","19,990","19,497","37,046","18,314","18,732","37,745","18,854","18,891","37,850","18,798","19,052","39,274","19,705","19,569","40,584","20,372","20,212","42,963","21,531","21,432","44,979","22,508","22,471","47,043","23,509","23,534","49,167","24,540","24,627","51,305","25,578","25,727","53,264","26,527","26,737","55,311","27,520","27,791","57,459","28,563","28,896","59,613","29,609","30,004","61,719","30,631","31,088","65,187","32,318","32,869","68,795","34,074","34,721","72,150","35,705","36,445","75,668","37,417","38,251","79,294","39,182","40,112","83,329","41,149","42,180","87,174","43,022","44,152","90,736","44,755","45,981","94,027","46,355","47,672","97,135","47,864","49,271","95,838","47,235","48,603","94,573","46,620","47,953","93,619","46,163","47,456","92,999","45,869","47,130","92,415","45,591","46,824","92,201","45,498","46,703","91,670","45,248","46,422","91,284","45,067","46,217","90,875","44,877","45,998","90,529","44,718","45,811","88,679","44,075","44,604","89,483","44,481","45,002","93,355","46,613","46,742","101,903","51,247","50,656","98,121","49,314","48,807","92,896","46,342","46,554","89,082","44,084","44,998","89,018","44,260","44,758","96,594","48,494","48,100","97,033","48,461","48,572","98,078","49,003","49,075","99,922","49,953","49,969","102,564","51,317","51,247","106,151","53,173","52,978","110,458","55,437","55,021","114,304","57,483","56,821","117,494","59,179","58,315","120,047","60,541","59,506","122,021","61,570","60,451","122,907","62,013","60,894","124,004","62,610","61,394","125,458","63,438","62,020","127,048","64,373","62,675","128,848","65,435","63,413","130,127","66,237","63,890","130,299","66,513","63,786","129,476","66,260","63,216","127,713","65,511","62,202","125,129","64,381","60,748","121,539","62,759","58,780"
55,"35,616","17,671","17,945","35,309","17,748","17,561","35,224","17,400","17,824","36,393","17,968","18,425","37,104","18,202","18,902","39,774","19,464","20,310","38,935","19,086","19,849","41,033","20,024","21,009","39,326","19,005","20,321","39,857","19,174","20,683","41,120","19,766","21,354","40,159","19,329","20,830","38,840","18,739","20,101","39,287","19,445","19,842","38,490","18,799","19,691","39,962","19,817","20,145","39,256","19,837","19,419","36,916","18,214","18,702","37,706","18,795","18,911","37,892","18,779","19,113","39,858","19,807","20,051","42,397","21,067","21,330","44,579","22,150","22,429","46,809","23,256","23,553","49,097","24,391","24,706","51,399","25,533","25,866","53,522","26,587","26,935","55,732","27,683","28,049","58,045","28,831","29,214","60,363","29,981","30,382","62,632","31,107","31,525","66,007","32,724","33,283","69,525","34,412","35,113","72,787","35,974","36,813","76,214","37,617","38,597","79,748","39,313","40,435","83,694","41,212","42,482","87,447","43,015","44,432","90,915","44,678","46,237","94,114","46,209","47,905","97,130","47,650","49,480","96,514","47,385","49,129","95,923","47,128","48,795","95,637","47,024","48,613","95,692","47,087","48,605","95,787","47,166","48,621","96,259","47,438","48,821","96,403","47,542","48,861","96,718","47,735","48,983","97,009","47,912","49,097","97,371","48,127","49,244","90,281","44,543","45,738","88,623","43,992","44,631","89,389","44,381","45,008","93,262","46,513","46,749","101,772","51,119","50,653","97,987","49,188","48,799","92,765","46,223","46,542","88,953","43,970","44,983","88,889","44,147","44,742","96,468","48,379","48,089","96,916","48,352","48,564","97,967","48,898","49,069","99,816","49,851","49,965","102,462","51,217","51,245","106,054","53,075","52,979","110,366","55,341","55,025","114,215","57,388","56,827","117,412","59,088","58,324","119,971","60,453","59,518","121,952","61,486","60,466","122,846","61,934","60,912","123,951","62,536","61,415","125,411","63,368","62,043","127,008","64,307","62,701","128,814","65,373","63,441","130,099","66,179","63,920","130,279","66,460","63,819","129,463","66,212","63,251","127,706","65,468","62,238","125,129","64,344","60,785"
